Counter,Date/time,Latitude,Longitude,Elevation
1,2022-04-18 21:33:04.892594,-18.5090557703109,-64.7469382830506,424.448054447931
2,2022-04-18 21:33:20.379733,-19.2671980127113,-64.1204875347025,424.702567860082
3,2022-04-18 21:33:35.229930,-19.9917624018487,-63.5137256343191,424.949197261339
4,2022-04-18 21:33:50.040458,-20.7117674054917,-62.90252049443,425.197439405526
5,2022-04-18 21:34:05.258935,-21.4487369789413,-62.2678893048262,425.454675946929
6,2022-04-18 21:34:20.114152,-22.1651959352729,-61.6416630215153,425.707682942466
7,2022-04-18 21:34:34.941239,-22.8772745934107,-61.0097035303619,425.961884257223
8,2022-04-18 21:34:49.853845,-23.5902838296587,-60.3668258389209,426.219033612898
9,2022-04-18 21:35:04.647139,-24.2942896353892,-59.7215988993278,426.475381720499
10,2022-04-18 21:35:19.485013,-24.996998305274,-59.066605039784,426.733557553959
11,2022-04-18 21:35:34.321520,-25.6960451963567,-58.4035539601207,426.992543492889
12,2022-04-18 21:35:49.186751,-26.392695238851,-57.7307535509216,427.252654214585
13,2022-04-18 21:36:04.014225,-27.0836844634265,-57.0508946664754,427.512509879925
14,2022-04-18 21:36:18.862792,-27.7715885495958,-56.3609780489416,427.772916817435
15,2022-04-18 21:36:33.737373,-28.4564461700018,-55.6604004348757,428.033738802714
16,2022-04-18 21:36:48.600654,-29.1363809709414,-54.9505435116888,428.294105497309
17,2022-04-18 21:37:03.820930,-29.8278708868524,-54.2131415457012,428.560213233959
18,2022-04-18 21:37:18.621356,-30.4954804451818,-53.4855244973326,428.818260071283
19,2022-04-18 21:37:33.409401,-31.1576105426013,-52.7477641438923,429.075156381413
20,2022-04-18 21:37:48.234600,-31.8162534507845,-51.9970250820521,429.33152815957
21,2022-04-18 21:38:03.077474,-32.4703154228427,-51.2338661077818,429.586806772443
22,2022-04-18 21:38:18.277364,-33.1343506782225,-50.4399855351964,429.84654784383
23,2022-04-18 21:38:33.127265,-33.7772193401908,-49.6519539499973,430.098426398635
24,2022-04-18 21:38:47.940368,-34.412493027421,-48.8532458512004,430.347604394445
25,2022-04-18 21:39:02.788048,-35.0430001043335,-48.0396411738676,430.595056560011
26,2022-04-18 21:39:17.594474,-35.6653019804934,-47.2149053247343,430.839303152041
27,2022-04-18 21:39:32.752349,-36.2954126747501,-46.3563852676908,431.08649873337
28,2022-04-18 21:39:47.612037,-36.9060494416944,-45.5003868545839,431.325815219728
29,2022-04-18 21:40:02.818089,-37.5233737826278,-44.6093283913855,431.567380961389
30,2022-04-18 21:40:18.021500,-38.1326878009881,-43.7027182746893,431.805312079149
31,2022-04-18 21:40:32.837728,-38.7185711903767,-42.8037365625631,432.0334968221
32,2022-04-18 21:40:48.020255,-39.3105615178425,-41.8662659085073,432.263334077122
33,2022-04-18 21:41:02.801354,-39.8784128217217,-40.9374627303259,432.482986716723
34,2022-04-18 21:41:17.634043,-40.4395610784693,-39.9890118909607,432.699138081499
