Counter,Date/time,Latitude,Longitude,Elevation,Temperature,Humidity,Pressure,Compass,Orient_pitch,Orient_roll,Orient_yaw,Comp_x,Comp_y,Comp_z,gyro_pitch,gyro_roll,gyro_yaw,gyro_x,gyro_y,gyro_z,accel_pitch,accel_roll,accel_yaw,accel_x,accel_y,accel_z
21,2022-04-15 18:12:47.682253,-34.03368169574442,136.59458768844226,426.1333187408169,35.2403,28.7468,1017.95,44.5073,344.1959889870808,35.05052615998404,44.24419983944215,21.933568954467773,-25.643476486206055,-8.224820137023926,344.19577554366924,35.046704669143416,43.983119273513,-0.0014989152550697327,-0.00012886524200439453,0.0024729017168283463,343.8746541998411,35.64946544830246,44.07819892185416,0.019519999623298645,0.03147599846124649,0.01512799970805645
22,2022-04-15 18:12:52.913988,-33.808450969946044,136.87580688476385,426.02608005339187,35.2403,28.6948,1017.9663,43.8556,343.61828304934465,36.2018433370489,43.56529269632122,21.759449005126953,-25.120588302612305,-8.70969009399414,343.6204413891224,36.20372505416524,43.27952441163706,-0.0014605820178985596,0.001972094178199768,0.001215064898133278,343.37778696602663,36.760446943223805,43.34673688816457,0.020983999595046043,0.030988000333309174,0.015859998762607574
23,2022-04-15 18:12:58.157675,-33.58194859789217,137.15608818695762,425.9184809453052,35.3114,28.7683,1017.9377,43.1229,343.09335910596707,37.260864167859374,42.84208153114901,21.428403854370117,-25.226774215698242,-8.415729522705078,343.09277170969847,37.25863069600078,42.56661317173322,-0.0016998499631881714,0.0016684383153915405,0.0014800634235143661,342.775092781212,37.9552382743558,42.67869999110772,0.01903199963271618,0.030988000333309174,0.01659199967980385
24,2022-04-15 18:13:03.398169,-33.35484353143262,137.43462653126684,425.81084568923137,35.3648,28.5724,1017.9385,42.4325,342.5539995577787,38.416979552816166,42.1470448963031,21.64735984802246,-25.38567543029785,-8.342602729797363,342.55430520874404,38.415996005575686,41.86885812159765,-0.003946822136640549,-0.001060187816619873,0.00091593898832798,342.31473290851125,38.941032647074564,41.92876571080783,0.01903199963271618,0.03171999752521515,0.013175999745726585
25,2022-04-15 18:13:08.639789,-33.12696132102773,137.71166623887885,425.70309739448186,35.2403,28.6826,1017.9446,41.6891,342.09304375107286,39.49149466775882,41.39620561593818,21.578947067260742,-25.114356994628906,-8.29499626159668,342.0936533454563,39.49407989435967,41.10984310479623,0.0038489550352096558,-4.034489393234253e-05,-0.002106059342622757,341.8343042324817,40.04440189616594,41.17559733593594,0.02025200054049492,0.030743999406695366,0.015371999703347683
26,2022-04-15 18:13:13.873186,-32.89869745722969,137.98675966948244,425.5954285625767,35.2581,28.7377,1017.9634,40.9357,341.5907431017737,40.494067400173726,40.64812914709253,21.05781364440918,-25.162113189697266,-8.459168434143066,341.58940438469637,40.494832381360766,40.36671510800426,0.00019424781203269958,-0.00010990351438522339,0.0009483136236667633,341.36356759488444,41.01243777704268,40.42307441394061,0.020495999604463577,0.031964000314474106,0.014151999726891518
27,2022-04-15 18:13:19.106901,-32.66972151717129,138.26033849310568,425.4876888157972,35.2759,28.7774,1017.9673,40.1855,341.13217786127734,41.49564975515898,39.89132711158219,20.800552368164062,-24.97286605834961,-8.998011589050293,341.1328301443431,41.492166358682276,39.594329995902534,0.001439414918422699,-0.00010713189840316772,0.0003640260547399521,340.9303167429995,41.99876148942212,39.643152188089786,0.018543999642133713,0.031964000314474106,0.013419999741017818
28,2022-04-15 18:13:24.343402,-32.43990307478242,138.53258417843992,425.37982315332505,35.2936,28.857,1017.9463,39.3745,340.75162533393365,42.48860558122251,39.07007541106362,20.702985763549805,-24.8067684173584,-9.087096214294434,340.74949943755445,42.486686298065734,38.76775074783134,-0.0006493702530860901,-0.0018756240606307983,-0.00023411400616168976,340.58939638831475,42.92249334824757,38.798011900949085,0.019519999623298645,0.03147599846124649,0.01512799970805645
29,2022-04-15 18:13:29.580561,-32.209363975553146,138.80337738426587,425.2718952498935,35.2581,28.7346,1017.9878,38.5185,340.39571100647345,43.336870679908486,38.205814009341466,20.66546058654785,-24.588178634643555,-9.262733459472656,340.39652209143736,43.33793618941901,37.898404270272124,0.0014632120728492737,-0.0009338259696960449,-0.0003087613731622696,340.20702361555726,43.78748558021091,37.93744563156791,0.018300000578165054,0.030988000333309174,0.013175999745726585
30,2022-04-15 18:13:34.824151,-31.97786167400751,139.0730257761339,425.16379837016495,35.2759,28.7499,1017.9614,37.64,340.0346842824195,44.23760870689309,37.31002786950513,20.5068359375,-24.275392532348633,-9.528580665588379,340.03512653716825,44.23805608428373,36.99261190330171,-0.000506814569234848,-0.0005198940634727478,0.0008550882339477539,339.83940746650154,44.690545871513315,37.03507518937168,0.022204000502824783,0.031964000314474106,0.011467999778687954
