Counter,Date/time,Latitude,Longitude,Elevation,Temperature,Humidity,Temperature_Humid,Temperature_Press,Pressure,Compass,Orient_pitch,Orient_roll,Orient_yaw,Comp_x,Comp_y,Comp_z,gyro_pitch,gyro_roll,gyro_yaw,gyro_x,gyro_y,gyro_z,accel_pitch,accel_roll,accel_yaw,accel_x,accel_y,accel_z
27,2022-04-19 22:42:29.590951,-44.544236670626006,25.635156845339313,432.086490529393,34.8136,29.3006,34.8136,33.5792,1006.0249,7.1734,340.8046429698186,42.925461065441944,7.169183411351531,34.35231399536133,-1.9869954586029053,3.541557550430298,340.8033981678423,42.92463802764696,7.164808675188138,0.0006231814622879028,-0.002464108169078827,-9.719282388687134e-06,340.575153736348,43.41273017592523,7.214804806138985,0.020983999595046043,0.03171999752521515,0.012199999764561653
28,2022-04-19 22:42:39.839965,-44.21353026781572,26.390367772786888,431.9141728533294,34.8136,29.3129,34.8136,33.5729,1006.0225,7.2505,340.33363995484365,43.90270745641444,7.233593802772044,34.462032318115234,-2.2522966861724854,3.038060188293457,340.3334008982227,43.89855470139907,7.223093240696795,0.0003519095480442047,-0.0012267082929611206,0.0011477358639240265,340.12962732697724,44.34048160107724,7.265441267324521,0.02000799961388111,0.031231999397277832,0.013175999745726585
29,2022-04-19 22:42:50.089142,-43.87728567385579,27.136670833543008,431.7393328987997,34.7958,29.1293,34.7958,33.5625,1006.0286,7.3056,339.9186735193668,44.77972423641159,7.304221373884561,34.58893585205078,-2.3725855350494385,3.4148809909820557,339.9167200852642,44.778699708036086,7.30401646820946,0.002511795610189438,-0.0011384189128875732,-0.0025371629744768143,339.7406087801573,45.1827361332936,7.334227248682073,0.019763998687267303,0.030499998480081558,0.010979999788105488
30,2022-04-19 22:43:00.328117,-43.53597231146341,27.873389383626435,431.5622152743277,34.8314,29.1599,34.8314,33.5687,1006.0452,7.3771,339.52173536820425,45.66384782824013,7.3677284727873396,34.600894927978516,-2.0533294677734375,3.583970785140991,339.52170292480565,45.66266620551372,7.361836580854558,0.0021428577601909637,0.002248309552669525,0.0010936018079519272,339.36215141334145,46.12290142726211,7.4000813713383975,0.020495999604463577,0.033427998423576355,0.012443999759852886
31,2022-04-19 22:43:10.574939,-43.189118142450866,28.60188027237327,431.3825778747478,34.7602,29.2088,34.7602,33.5542,1006.0081,7.4443,339.1797051077794,46.57699630894665,7.447881596471086,34.640228271484375,-2.626549243927002,3.433401346206665,339.17870448506596,46.58128225265083,7.452186323195486,-0.0016076825559139252,-0.001050800085067749,-0.000733671709895134,339.00415046308984,46.88878419927398,7.475806824892683,0.019519999623298645,0.03245199844241142,0.014883999712765217
32,2022-04-19 22:43:20.818484,-42.83720435498187,29.321445948017296,431.2006750584978,34.7958,29.2486,34.7958,33.5521,1006.0015,7.4945,338.85198238611844,47.2483356024672,7.498909085986605,34.64630126953125,-2.8075573444366455,3.626556396484375,338.8512378954989,47.24759111184767,7.513028794548314,0.000983063131570816,0.00016536563634872437,-0.00011559948325157166,338.630351285288,47.605626213045156,7.551159179363555,0.01903199963271618,0.030499998480081558,0.013175999745726585
33,2022-04-19 22:43:31.057887,-42.48039487553923,30.032094101855762,431.0165980245538,34.7958,29.3771,34.7958,33.5417,1006.0027,7.5978,338.46310556572377,47.97472280560347,7.611529513890006,35.0106315612793,-2.6452457904815674,3.8332831859588623,338.4629091977851,47.97570976793854,7.618998325747415,-0.0015388056635856628,0.0022505372762680054,0.0005229134112596512,338.281886986665,48.29979541386648,7.650293398750767,0.020739998668432236,0.030988000333309174,0.015371999703347683
34,2022-04-19 22:43:41.297514,-42.1186548237085,30.73422322298131,430.83033733392523,34.8314,29.3832,34.8314,33.5396,1006.019,7.6835,338.0983666338559,48.595774831359805,7.689332198725621,35.16297149658203,-2.6028974056243896,3.6122348308563232,338.09600168085575,48.59561432191431,7.692569708392207,0.0003563910722732544,0.0004247128963470459,0.0013534948229789734,337.86344910754246,48.9570645176968,7.735012503894667,0.01903199963271618,0.03245199844241142,0.016103999689221382
35,2022-04-19 22:43:51.545769,-41.751802488365115,31.42847731813624,430.64181056653405,34.7958,29.3649,34.7958,33.5333,1006.0156,7.748,337.75245682598245,49.244147613796194,7.743146405422506,34.86347198486328,-2.377586841583252,3.5748867988586426,337.75371358078974,49.2453531421847,7.739715942911866,0.0006612911820411682,0.0006905794143676758,0.0008190181106328964,337.53746979166715,49.58336895892487,7.7768713182230895,0.019763998687267303,0.031231999397277832,0.013175999745726585
36,2022-04-19 22:44:01.787764,-41.38045992845545,32.113982223493515,430.4513501330604,34.8491,29.4108,34.8491,33.5375,1006.0005,7.8022,337.38297774283063,49.92399390792799,7.800077739701854,35.20576477050781,-2.576237916946411,3.4732367992401123,337.3834148749375,49.918802964158786,7.797011838538165,-0.0010668933391571045,-0.00035150349140167236,-3.452785313129425e-05,337.18423119081433,50.29005106630566,7.832641520343536,0.02000799961388111,0.029523998498916626,0.01268799975514412
