Counter,Date/time,Latitude,Longitude,Elevation
1,2022-04-18 21:33:04.892594,-18.509055770310948,-64.74693828305058,424.4480544479309
2,2022-04-18 21:33:20.379733,-19.267198012711276,-64.12048753470249,424.702567860082
3,2022-04-18 21:33:35.229930,-19.991762401848675,-63.51372563431906,424.94919726133895
4,2022-04-18 21:33:50.040458,-20.71176740549167,-62.90252049443004,425.19743940552576
5,2022-04-18 21:34:05.258935,-21.44873697894126,-62.26788930482621,425.4546759469286
6,2022-04-18 21:34:20.114152,-22.16519593527294,-61.64166302151533,425.7076829424656
7,2022-04-18 21:34:34.941239,-22.877274593410718,-61.00970353036192,425.9618842572234
8,2022-04-18 21:34:49.853845,-23.59028382965871,-60.36682583892091,426.2190336128976
9,2022-04-18 21:35:04.647139,-24.294289635389156,-59.7215988993278,426.47538172049894
10,2022-04-18 21:35:19.485013,-24.996998305274044,-59.06660503978404,426.7335575539585
11,2022-04-18 21:35:34.321520,-25.696045196356682,-58.40355396012072,426.9925434928891
12,2022-04-18 21:35:49.186751,-26.392695238850987,-57.730753550921555,427.2526542145848
13,2022-04-18 21:36:04.014225,-27.083684463426522,-57.0508946664754,427.51250987992455
14,2022-04-18 21:36:18.862792,-27.771588549595823,-56.36097804894157,427.77291681743486
15,2022-04-18 21:36:33.737373,-28.456446170001776,-55.66040043487567,428.0337388027141
16,2022-04-18 21:36:48.600654,-29.13638097094135,-54.950543511688785,428.2941054973087
17,2022-04-18 21:37:03.820930,-29.827870886852367,-54.21314154570116,428.5602132339592
18,2022-04-18 21:37:18.621356,-30.495480445181812,-53.48552449733264,428.8182600712827
19,2022-04-18 21:37:33.409401,-31.157610542601333,-52.747764143892304,429.0751563814133
20,2022-04-18 21:37:48.234600,-31.81625345078449,-51.99702508205209,429.33152815957
21,2022-04-18 21:38:03.077474,-32.470315422842695,-51.233866107781765,429.58680677244325
22,2022-04-18 21:38:18.277364,-33.13435067822253,-50.4399855351964,429.8465478438299
23,2022-04-18 21:38:33.127265,-33.77721934019083,-49.651953949997264,430.098426398635
24,2022-04-18 21:38:47.940368,-34.41249302742104,-48.85324585120039,430.3476043944447
25,2022-04-18 21:39:02.788048,-35.0430001043335,-48.03964117386759,430.5950565600108
26,2022-04-18 21:39:17.594474,-35.66530198049338,-47.21490532473427,430.839303152041
27,2022-04-18 21:39:32.752349,-36.29541267475009,-46.356385267690776,431.0864987333703
28,2022-04-18 21:39:47.612037,-36.906049441694435,-45.500386854583894,431.32581521972816
29,2022-04-18 21:40:02.818089,-37.523373782627814,-44.60932839138551,431.56738096138906
30,2022-04-18 21:40:18.021500,-38.132687800988144,-43.70271827468928,431.8053120791493
31,2022-04-18 21:40:32.837728,-38.71857119037671,-42.80373656256308,432.0334968220998
32,2022-04-18 21:40:48.020255,-39.31056151784249,-41.86626590850733,432.2633340771222
33,2022-04-18 21:41:02.801354,-39.87841282172172,-40.937462730325905,432.4829867167226
34,2022-04-18 21:41:17.634043,-40.43956107846934,-39.989011890960676,432.69913808149863
35,2022-04-18 21:41:32.836486,-41.00531358477468,-38.999550595811826,432.9160162257678
36,2022-04-18 21:41:47.628864,-41.54636149777293,-38.01956301785195,433.12231074621064
37,2022-04-18 21:42:02.411036,-42.0774006579078,-37.0229712823656,433.32360105548565
